"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:03:33+08:00",2.0,720.98,0.07,18.68,15.02,4.23,14.01,20.62,4.56,120.6197,14.9696,"2025-01-01 00:03:33.978340+08:00","San Pablo"
"2025-01-01 00:03:35+08:00",2.0,547.41,0.03,8.65,16.45,0.94,15.44,18.09,7.54,121.8833,17.2,"2025-01-01 00:03:35.818554+08:00","San Pedro"
"2025-01-01 00:03:37+08:00",1.0,427.25,0.0,8.14,31.47,1.43,8.27,10.71,3.61,120.9378,15.4238,"2025-01-01 00:03:37.422719+08:00","Santa Rosa"
"2025-01-01 00:03:39+08:00",1.0,330.45,0.0,2.21,31.47,0.48,7.65,8.62,2.06,120.4449,17.2939,"2025-01-01 00:03:39.803797+08:00","Santiago"
"2025-01-01 00:03:42+08:00",1.0,330.45,0.0,2.29,40.41,0.27,5.93,6.63,1.09,121.7645,17.3997,"2025-01-01 00:03:42.326445+08:00","Santo Tomas"
"2025-01-01 00:03:44+08:00",1.0,223.64,0.0,1.5,37.55,0.95,3.79,4.56,0.36,122.9667,10.8,"2025-01-01 00:03:44.876921+08:00","Silay City"
"2025-01-01 00:03:45+08:00",2.0,440.6,0.0,7.11,27.54,1.12,11.89,12.76,3.14,122.4042,9.7519,"2025-01-01 00:03:46.031213+08:00","Sipalay"
"2025-01-01 00:03:47+08:00",1.0,191.93,0.0,1.37,40.05,0.54,0.75,0.86,0.09,125.5,9.75,"2025-01-01 00:03:47.225995+08:00","Surigao City"
"2025-01-01 00:03:48+08:00",1.0,233.65,0.0,2.38,24.32,7.57,4.83,5.97,0.99,123.7336,13.3586,"2025-01-01 00:03:48.643780+08:00","Tabaco"
"2025-01-01 00:03:50+08:00",1.0,307.08,0.0,1.78,27.9,0.2,5.04,5.47,0.92,121.4443,17.4189,"2025-01-01 00:03:50.185021+08:00","Tabuk"
"2025-01-01 00:03:52+08:00",1.0,223.64,0.01,3.26,15.91,0.8,2.48,3.5,2.85,125.0,11.25,"2025-01-01 00:03:52.311773+08:00","Tacloban City"
